title,author,bookInfo,authorInfo
Lease on Love,Falon Ballard,"Beach Read meets The Flatshare in this warmly funny and delightfully sharp debut rom-com about a down-on-her-luck young woman who turns an innocent mix-up between a dating app and a roommate app into a new chance at love.After getting passed over for an overdue—and much needed—promotion, Sadie Green is in desperate need of three things: a stiff drink, a new place to live, and a one-night-stand. When one drink turns into one too many, Sadie mixes up a long-ignored dating app for a roommate-finding app and finds herself on the doorstep of Jack Thomas’s gorgeous Brooklyn brownstone. Too bad she’s more attracted to his impressive real estate than she is to the man himself. Jack, still grieving the unexpected death of his parents, has learned to find comfort in video games and movie marathons instead of friends. So while he doesn’t know just what to make of the vivaciously verbose Sadie, he’s willing to offer her his spare bedroom while she gets back on her feet. And with the rent unbeatably low, Sadie can finally pursue her floristry side hustle full-time. The two are polar opposites, but as Sadie’s presence begins to turn the brownstone into a home, they both start to realize they may have just made the deal of a lifetime.","Falon Ballard is a Los Angeles native who has been writing stories her whole life. After graduating with a degree in Creative Writing, Falon embarked on an eight-year teaching adventure before opening her own event planning business. When she’s not… More about Falon Ballard"
The Lady Tempts an Heir,Harper St. George,"A fake engagement brings together a lady with bold and daring dreams, and the heir whose heart she captured—perfect for fans of Bridgerton! Tall, dark, and brooding—to say that American Maxwell Crenshaw stood out in the glittering ballrooms of London is an understatement. He vowed never to set foot in England again, but when a summons from his father along with an ultimatum to secure his legacy has him crossing the Atlantic for the last time, reuniting him with the delectable Lady Helena March, he can’t deny the temptation she presents. Or the ideas she inspires… Lady Helena March is flirting with scandal. Instead of spending her time at teas and balls in search of another husband, as is expected of a young widow, Helena pours her energy into The London Home for Young Women. But Society gives no quarter to unmarried radicals who associate with illegitimate children and fallen women, and Helena’s funding is almost run out. So when the sinfully seductive Crenshaw heir suggests a fake engagement to save them both—him from an unwanted marriage and her from scorn and financial ruin—Helena finds herself too fascinated to refuse the sexy American. As their arrangement of convenience melts oh so deliciously into nights of passion, their deception starts to become real. But if Max knew the true reason Helena can never remarry, he wouldn’t look at her with such heat in his eyes. Or might the Crenshaw heir be willing to do whatever it takes to win the one woman he’s never been able to forget…","Harper St. George was raised in the rural backwoods of Alabama and along the tranquil coast of northwest Florida. It was a setting filled with stories of the old days that instilled in her a love of history, romance, and… More about Harper St. George"
Strength in the Storm,Laurel Blount,"In this touching Amish romance, a brokenhearted woman and a steadfast man discover that the safest place to weather tragedy is in each other’s arms.After the murder of both her parents, Emma Hochstedler returns to the small community of Johns Mill, hoping to resume her quiet existence. Reclaiming her place proves harder than expected—especially now that a movie is being made about her family’s loss. But then, an old friend offers her a lifeline that gives her new purpose. Amish builder Samuel Christner is the biggest—and the strongest—man in town. In fact, the gentle giant has only one weakness—Emma. Even though she broke his heart, he won’t let his childhood sweetheart face her troubles alone. He hires Emma as a nurse for his elderly aunt…and finds himself falling for her all over again. But while romance blooms, storm clouds gather. And when darkness falls, it will take all Sam’s strength—and all their love—to see them through.","Award-winning author Laurel Blount writes captivating romances full of grit and grace—with characters who’ll walk right off the page and into your heart. She lives on a farm in Georgia with her husband, their four fabulous kids, and an assortment… More about Laurel Blount"
Delilah Green Doesn’t Care,Ashley Herring Blake,"A clever and steamy queer romantic comedy about taking chances and accepting love—with all its complications—by debut author Ashley Herring Blake. Delilah Green swore she would never go back to Bright Falls—nothing is there for her but memories of a lonely childhood where she was little more than a burden to her cold and distant stepfamily. Her life is in New York, with her photography career finally gaining steam and her bed never empty. Sure, it’s a different woman every night, but that’s just fine with her.   When Delilah’s estranged stepsister, Astrid, pressures her into photographing her wedding with a guilt trip and a five-figure check, Delilah finds herself back in the godforsaken town that she used to call home. She plans to breeze in and out, but then she sees Claire Sutherland, one of Astrid’s stuck-up besties, and decides that maybe there’s some fun (and a little retribution) to be had in Bright Falls, after all.   Having raised her eleven-year-old daughter mostly on her own while dealing with her unreliable ex and running a bookstore, Claire Sutherland depends upon a life without surprises. And Delilah Green is an unwelcome surprise…at first. Though they’ve known each other for years, they don’t really know each other—so Claire is unsettled when Delilah figures out exactly what buttons to push. When they’re forced together during a gauntlet of wedding preparations—including a plot to save Astrid from her horrible fiancé—Claire isn’t sure she has the strength to resist Delilah’s charms. Even worse, she’s starting to think she doesn’t want to…","Ashley Herring Blake is the author of the young adult novels Suffer Love, How to Make a Wish, and Girl Made of Stars (Houghton Mifflin Harcourt), and the middle grade novels Ivy Aberdeen’s Letter to the World, The Mighty Heart of Sunny St. James, and Hazel Bly and the… More about Ashley Herring Blake"
A Perfect Equation,Elizabeth Everett,"How do you solve the Perfect Equation? Add one sharp-tongued mathematician to an aloof, handsome nobleman. Divide by conflicting loyalties and multiply by a daring group of women hell-bent on conducting their scientific experiments. The solution is a romance that will break every rule.Six years ago, Miss Letitia Fenley made a mistake, and she’s lived with the consequences ever since. Readying herself to compete for the prestigious Rosewood Prize for Mathematics, she is suddenly asked to take on another responsibility—managing Athena’s Retreat, a secret haven for England’s women scientists. Having spent the last six years on her own, Letty doesn’t want the offers of friendship from other club members and certainly doesn’t need any help from the insufferably attractive Lord Greycliff. Lord William Hughes, the Viscount Greycliff cannot afford to make any mistakes. His lifelong dream of becoming the director of a powerful clandestine agency is within his grasp. Tasked with helping Letty safeguard Athena’s Retreat, Grey is positive that he can control the antics of the various scientists as well as manage the tiny mathematician—despite their historic animosity and simmering tension. As Grey and Letty are forced to work together, their mutual dislike turns to admiration and eventually to something…magnetic. When faced with the possibility that Athena’s Retreat will close forever, they must make a choice. Will Grey turn down a chance to change history, or can Letty get to the root of the problem and prove that love is the ultimate answer?",Elizabeth Everett lives in upstate New York with her family. She likes going for long walks or (very) short runs to nearby sites that figure prominently in the history of civil rights and women’s suffrage. Her series is inspired by her admiration… More about Elizabeth Everett
Wherever You Are,Maya Banks,"A KGI novel of nonstop suspense and explosive passion from the #1 New York Times bestselling author of Brighter Than the Sun. The Kelly Group International (KGI): A super-elite, top secret, family-run business.Qualifications: High intelligence, rock-hard body, military background.Mission: Hostage/kidnap victim recovery. Intelligence gathering. Handling jobs the U.S. government can’t…When some well-deserved R & R turns into a volatile situation for Skylar Watkins, she knows her team will never get to her in time. Her only hope is a promise once made to her by a desperate, grateful man—and his squad is within range…Driven by a steely demeanor and fierce loyalty, the warrior now tasked with saving Skylar’s life knows her value to the KGI. He’s seen firsthand how daring—and lethal—she can be. He’ll get her back or die trying, but what he isn’t prepared for is the desire to keep her close, for wanting her to remain in his arms and under his watch…forever.","Maya Banks is the #1 USA Today and #1 New York Times bestselling author of the Surrender trilogy, the Breathless trilogy, the Sweet series, the Colters’ Legacy novels, and The Enforcers series.  She lives in the South with her husband and three children and other assorted… More about Maya Banks"
Seoulmates,Jen Frederick,"A woman fights to be with the one she loves while coming to terms with her identity in this romantic drama by USA Today bestselling author Jen Frederick.Hara Wilson has finally discovered her roots, but the challenges she must face could destroy the love she has found.","Jen Frederick is a Korean adoptee living in the Midwest with her husband, daughter, and rambunctious dog. Under the psuedonym Erin Watt, Frederick has co-written two #1 New York Times bestselling novels."
Bold Love,Lauren Accardo,"Playing house in the mountains was supposed to be temporary, but a woman would have to be made of stone to resist the most eligible bachelor in Pine Ridge and all his small-town charm.…Denny Torres needs a break. After a series of embarrassments on and off the field, the Adirondacks provide the perfect hideout for his new, quiet, post-football life. The fresh mountain air is a welcome balm for his soul, but what’s even more soothing? The sexy, sweet touch of fellow Pine Ridge newcomer Bethany Jones. If only she planned to stay…. Bee does not have time for a hunky former athlete—no matter how good he looks shirtless. Her artistic ambitions are in ruins, her brother is a disaster, and while Pine Ridge has its charms, the small town is nothing more than a pit stop on her way to getting back on track. Bee’s just going to ignore the fact that when Denny offers her the chance to channel her creative energy into redesigning his house, she finds herself building the home—and the life—of her dreams. With their time together coming to an end, Denny will have to move quickly to prove he can be the man Bee needs. Who better than a defensive back to knock down those walls?","Lauren Accardo writes steamy contemporary romance featuring strong women and the men who love them. Originally from Western New York, Lauren now lives in Queens with her stand-up-comic husband. She loves karaoke, cake, and the Adirondack Mountains, where her series takes… More about Lauren Accardo"
The Roughest Draft,Emily Wibberley,"They were cowriting literary darlings until they hit a plot hole that turned their lives upside down.Three years ago, Katrina Freeling and Nathan Van Huysen were the brightest literary stars on the horizon, their cowritten books topping bestseller lists. But on the heels of their greatest success, they ended their partnership on bad terms, for reasons neither would divulge to the public. They haven’t spoken since, and never planned to, except they have one final book due on contract. Facing crossroads in their personal and professional lives, they’re forced to reunite. The last thing they ever thought they’d do again is hole up in the tiny Florida town where they wrote their previous book, trying to finish a new manuscript quickly and painlessly. Working through the reasons they’ve hated each other for the past three years isn’t easy, especially not while writing a romantic novel. While passion and prose push them closer together in the Florida heat, Katrina and Nathan will learn that relationships, like writing, sometimes take a few rough drafts before they get it right.","Emily Wibberley and Austin Siegemund-Broka met and fell in love in high school. Austin went on to graduate from Harvard,… More about Emily Wibberley"
Bold Fortune,Megan Crane,"Opposites burn hot enough to melt the snow and ice of an Alaskan winter in this all-new series from USA Today bestselling author Megan Crane.Quinn Fortune is the official protector of all the unspoiled beauty in Lost Lake, Alaska, as the head of the community trust. A rugged frontiersman through and through, he doesn’t do soft. But he can’t help his fascination with the pink-clad professor who shows up in Lost Lake seeking his approval for her cheerful outsider’s proposal about land that isn’t hers. Still, he agrees to consider it—if she can handle a month of good old-fashioned Alaska living. He’s betting she’ll head back to the safety of the Lower 48 within the week.Violet Parrish is a thinker, not a doer, but desperate times call for extraordinary measures—like taking on the Alaskan wilderness. In January. Off the grid. With a mountain man hot enough to melt a glacier. The frozen Alaskan tundra should be no match for Violet’s determination, but the sheer immensity of the Last Frontier takes her by surprise—as does her attraction to gruff, impossibly handsome Quinn, and the unexpected heat that burns between them during the freezing Alaska nights…",Megan Crane is a USA Today bestselling and RITA-nominated author. She currently lives in the Pacific Northwest with her husband.
